Makanan ,Hidangan ,Berat (g) (ml),Kalori (kcal) 
Sandwic keju + salad ,1 keping ,30,100
Sandwic sardin + salad ,1 keping ,30,90
Sandwic telur + salad ,1 keping ,30,80
Sandwic tuna + salad ,1 keping ,30,90
Seaweed oat calcium cracker ,1 paket ,22,110
Sesame oat calcium cracker ,1 paket ,22,115
Sosej + roti bakar + scramble egg ,1 set ,160,310
Sosej ayam ,1 ketul ,80,220
Sosej lada hitam ,1 ketul ,50,110
Spagethi dengan keju & sos daging ,1 mangkuk ,440,440
Spagetti bolognese bebola daging + keju + daging,1 mangkuk ,225,390
Spicy sesame beef ,1 senduk ,60,160
Steamed red Talapia Fish Thai Style ,1 keping ,70,60
Stir fried boneless chicken with cashew nuts & sesame seeds,1 ketul ,50,140
Stir fried chicken with dry chilli ,1 ketul ,90,150
Stir Fried Mantis Prawn with Thai Sauce ,2 ekor ,40,70
Stir Fried Prawn with Butter and Curry Leaves ,1 ekor sederhana ,30,70
Stir fry chicken with celery ,1 senduk ,60,125
Telur ½ masak ,1 biji ,50,80
Wholemeal biscuits ,3 keping ,33,120
Yogurt perisa buah ,1 cawan ,150,400
Yogurt rendah lemak ,1 cawan ,150,90
Jem strawberi ,1 sudu makan ,30,80
Kaya ,1 sudu makan ,30,80
Marmalade ,1 sudu makan ,20,50
Mayonis ,1 sudu makan ,10,60
Mentega ,1 sudu teh ,10,80
Kuah cili nasi ayam ,1 sudu makan ,20,10
Kuah kacang ,1 sudu makan ,10,30
Kuah santan ,2 sudu makan ,30,80
Sambal belacan ,1 sudu teh ,10,10
Sup kosong- Chicken Rice Shop ,1 mangkuk kecil ,150,10
Air barli (kosong),1 gelas ,225,85
Air barli (gula),1 gelas ,230,105
Air kosong ,1 gelas ,250,0
Air limau nipis (kosong),1 gelas ,250,20
Air limau nipis (gula),1 gelas ,250,40
Air soya ,1 gelas ,250,150
Cendol ,1 mangkuk ,150,120
Fruit cocktail triffle pudding ,1 potong ,60,110
Horlicks bersusu* ,1 cawan ,200,170
Horlicks O ,1 cawan ,200,140
"Jus anggur, tanpa gula ",1 gelas ,250,250
Jus buah (kosong),1 gelas ,250,60
Jus buah (gula),1 gelas ,250,80
"Jus epal, tanpa gula ",1 gelas ,250,120
Jus lemon ,1 gelas ,250,20
"Jus nenas, tanpa gula ",1 gelas ,250,130
"Jus oren, tanpa gula ",1 gelas ,250,110
Kopi bersusu* ,1 cawan ,200,130
Kopi O ,1 cawan ,200,60
Kordial anggur ,1 gelas ,250,140
Kordial durian belanda ,1 gelas ,250,120
Kordial laici ,1 gelas ,250,140
Kordial oren ,1 gelas ,250,70
Kordial sarsi ,1 gelas ,250,80
Milo bersusu* ,1 cawan ,200,160
Milo O (kosong),1 cawan ,200,75
Milo O (gula),1cawan,200,95
Minuman berkarbonat ,1 tin ,285,150
Minuman bermalta ,1 gelas ,250,150
Minuman coklat bersusu ,1 gelas ,250,170
Minuman kola ,1 gelas ,250,100
Mix fruit punch ,1 mangkuk kecil ,140,50
Nescafe bersusu* ,1 cawan ,200,130
Nescafe O ,1 cawan ,200,60
Sirap bandung ,1 gelas ,250,160
Sirap limau ,1 gelas ,250,90
Sirap ros ,1 gelas ,250,85
Sirap selasih ,1 gelas ,250,120
Teh bersusu* ,1 cawan ,200,130
Teh lemon (Ice lemon tea-commercial) ,1 gelas ,250,120
Teh O/ Kopi O ,1 cawan ,200,20
Teh O / Kopi O (kosong),1 cawan ,200,0
Teh tarik ,1 cawan ,200,150
Teh tarik kurang manis ,1 cawan ,200,110
Teh/Kopi ,1 cawan ,200,150
Teh/kopi (kurang manis),1 cawan,200,110
Bayam goreng ,1 senduk ,45,50
Bingka ubi mentega tanpa sumber haiwan ,1 ketul ,30,65
Braised bitter gourd with tauchu ,1 senduk ,40,80
Braised Vegetarian Chinese Cabbage with Three Musroom,1 senduk ,50,50
Braised vegetarian shark’s fin soup with four treasures ,1 mangkuk kecil ,90,140
Braised water chesnut soup ,1 senduk ,60,60
Bubur cacar ,1 mangkuk kecil ,90,140
Cauliflower in Masala sauce ,1 senduk ,40,17
Cendawan pan fried ,1 senduk ,40,100
Cendawan tumis air ,1 senduk ,45,30
Chap chye tanpa sumber haiwan ,1 senduk ,60,50
Chilled Longan with Jelly ,1 cawan ,200,80
Chinese tea ,1 cawan ,200,0
Crispy Vegetarian Roasted Chicken with BBQ Sauce ,1 keping ,50,140
Cucumber & tomato raita ,1 senduk ,80,30
Deep fried vegetarian spring roll ,1 keping ,50,130
Flacky berry puff with yogurt cream ,1 biji kecil ,30,55
Fragrant salt & pepper soya prawn ,1 senduk ,45,110
Fried Rice Vegetarian Chinese Style ,2 senduk ,100,240
Fried vegetarian mee hoon ,2 senduk ,120,140
Fruit tartlets tanpa telur ,1 biji ,40,80
Kacang panjang goreng telur ,1 senduk ,25,50
Kangkung fried vegetarian chicken ,1 senduk ,50,140
Labu kuning goreng ,1 senduk ,70,60
Makaroni bakar vegetarian ,1 senduk ,80,130
Mini egg tart ,1 biji ,30,80
Mixed grilled vegetables on mini corn bread ,1 keping ,50,120
Mixed vegetable with cashewnut ,1 senduk ,50,55
Mushroom mini quiche ,1 biji ,25,65
Mustard plant with soy bean curd ,1 senduk ,40,85
Pan fried vegetarian fish with soy sauce ,3 piece ,30,180
Popia sayur ,1 ketul ,45,75
Putu mayam with brown sugar ,1 keping ,20,40
Rasam (soup) ,1 mangkuk kecil ,150,160
Salad vegetarian crabsticks with honey dew ,1 senduk ,80,110
Sandwich sayur ,1 keping ,30,45
Sayur goreng Jawa tanpa sumber haiwan ,1 senduk ,50,45
Simmered dhal with cumin ,1 senduk ,50,70
Soy (fucuk )sweet and sour ,1 senduk ,70,85
Soy chicken kuzee ,1 senduk ,70,80
Soy chicken masak kicap ,1 senduk ,65,85
Soy chicken masak merah ,1 senduk ,60,85
Soy fish pan fried ,1 senduk ,60,75
Soy meat masak hitam ,1 senduk ,60,90
Soy sotong balck pepper ,1 ketul ,44,110
Spicy crispy spring roll vegetarian ,1 keping ,35,90
Steam egg tiga rasa ,1 senduk ,50,90
Steamed Basmati rice with dried fruits ,2 senduk ,100,175
Steamed soya fish with mushroom ,1 senduk ,70,110
Steamed Vegetarian Fish Thai Style ,1 senduk ,50,100
Stewed bean root with mushroom & vegetables ,1 senduk ,40,70
Stir fried mixed vegetables with fresh herbs ,1 senduk ,40,65
Stir fried vegetarian chicken with dry chilli ,1 keping ,40,150
Stir fried vegetarian mantis prawn ,1 ketul ,30,70
Stir fried vegetarian prawn Szechuan style ,1 senduk ,55,50
Stir Fried Vegetarian Prawn with Butter and Curry Leaves ,1 keping ,30,70
Sup sayur & tauhu ,1 mangkuk kecil ,90,80
Sup tauhu ,1 mangkuk kecil ,90,40
Sweet & sour soy meat ,1 senduk ,90,110
"Tauhu kukus , sos telur & cendawan hitam ",� ketul ,90,100
Tauhu with mix vegetables ,1 senduk ,40,75
Thai Style Soya prawn ,1 senduk ,40,60
Tofu goreng ,1 ketul ,40,105
Tofu Jepun sos telur ,1 senduk ,70,100
Tofu Jepun sos tiram ,1 senduk ,60,95
Tofu Seng Kong ,1 senduk ,60,70
Tofu stim & sos tiram ,1 senduk ,70,110
Tofu Szechuan ,1 ketul ,40,90
Vadai (masala vadai & black lentil vadai) ,1 keping ,30,95
Vegetable mix (Ma Po) ,1 senduk ,40,50
Vegetarian angsa goreng ,1 ketul ,50,110
Vegetarian chicken curry ,3 ketul ,40,130
Vegetarian chicken with plum sauce ,3 keping ,40,200
Vegetarian ikan kukus halia ,2 senduk ,80,160
Vegetarian kari kambing ,3 ketul ,45,135
Vegetarian kurma ,1 senduk ,50,95
Vegetarian mushroom soup (clear soup) ,1 mangkuk kecil ,150,35
Vegetarian pasta ,1 senduk ,112,125
Vegetarian pizza ,1 keping ,53,90
Vegetarian samosa ,1 biji ,25,50
Vegetarian sandwich ,3 keping ,90,80
